1;1;1;La ciudad de las esculturas
1;2;0;Ciudad Museo
1;3;0;Ciudad Capital
2;4;0;200
2;5;0;700
2;6;1;600
3;7;1;Litoral Chaqueño, centro Chaqueño e Impenetrable Chaqueño
3;8;0;Litoral Chaqueño e Impenetrable Chaqueño
3;9;0;Chaco Boreal y Chaco Austral
4;10;0;Maipú
4;11;0;Bermejo
4;12;1;12 de octubre
5;13;0;Pilcomayo
5;14;0;Paraná
5;15;1;Bermejo
6;16;1;Paralelo 28
6;17;0;Paralelo 30
6;18;0;Paralelo 29
7;19;0;Puerto de Barranqueras con Formosa
7;20;1;Puerto de Barranqueras con Salta
7;21;0;Puerto de Barranquera con Santiago del Estero
8;22;1;Juan Manuel Silva
8;23;0;Giorgio Carrara
8;24;0;Marcos Siebert
9;25;1;Basquet
9;26;0;Futbol
9;27;0;Jockey
10;28;0;Natación
10;29;0;Remo
10;30;1;Atletismo
11;31;0;For Ever
11;32;1;Sarmiento
11;33;0;Don Orione
12;34;0;Acordeón
12;35;1;N´viké
12;36;0;Charango
13;37;1;Caza comunal de animales
13;38;0;Nombre de un árbol que abunda en la región
13;39;0;Nombre de un animal
14;40;1;99.633 Km²
14;41;0;32.565 Km²
14;42;0;29.900 Km²
15;43;0;300.000
15;44;0;2.000.000
15;45;1;1.000.000
16;46;0;Gral. Lorenzo Winter
16;47;1;Gral. Julio de Vedia
16;48;0; Gral. Antononio Dónovan
17;49;0;Tony Zalazar
17;50;1;Aledo Luis Meloni
17;51;0;Tete Romero
18;52;1;Los departamentos provinciales
18;53;0;Las ciudades principales
18;54;0;Grandes personajes que forzaron Chaco
19;55;0;La Municipalidad de la Ciudad
19;56;0;El Fogón de los Arrieros
19;57;1;Casa de Gobierno
20;58;0;Caña de azúcar
20;59;1;Algodón
20;60;0;Producción de Tanino
21;61;0;Flor del cardo
21;62;0;Flor del Ceibo
21;63;1;Flor rosada del palo borracho
22;64;0;El coro polifónico de Resistencia
22;65;0;El coro de niños
22;66;1;El coro Chelaalapí
23;67;0;Gabriel Grotti
23;68;1;Nicolás de Carlo
23;69;0;José Alumni
24;70;0;1973
24;71;1;1974
24;72;0;1976
25;73;1;Felipe Gallardo
25;74;0;Danilo Baroni
25;75;0;Deolindo Bittel
26;76;1;8 de agosto de 1951
26;77;0;8 de agosto de 1958
26;78;0;8 de agosto de 1955
27;79;1;Qom
27;80;1;Moqoi
27;81;1;Wichi
27;82;1;Vilelas
27;83;0;Guaraníes
28;84;0;Esteco
28;85;1;Concepción del Bermejo
28;86;0;San Fernando del Río Negro
29;87;0;Ciudad española
29;88;1;Reducción de los jesuitas
29;89;0;Misión franciscana
30;90;0;San Carlos del Timbo
30;91;0;San Bernardo de Vértiz
30;92;1;Nuestra Señora de los Dolores de la Cangaye
30;93;0;La capital de la Gobernación del Chaco se ubicaba en
30;94;0;Villa Occidental
30;95;0;Resistencia
31;96;0;1810
31;97;1;1862
31;98;0;1900
32;99;1;Dos Gobernaciones (Chaco Austral y Chaco Central)
32;100;0;Tres Gobernaciones
32;101;0;Cuatro Gobernaciones
33;102;0;Eran elegidas por voto popular
33;103;1;Eran nombradas por el Poder Ejecutivo Nacional
34;104;0;Durante la Triple Alianza
34;105;1;Al terminar la Guerra de la Triple Alianza
35;106;1;Ley Avellaneda sancionada en 1876
35;107;0;Ley 28 de Bartolomé Mitre
35;108;0;Ley 576 de 1872
36;109;1;Algodón
36;110;0;Pesca
36;111;0;Caza
37;112;0;Resistencia
37;113;0;Puerto Tirol
37;114;1;Vicentini
37;115;0;La Verde
37;116;0;La Escondida
38;117;0;Resistencia
38;118;0;Margarita Belén
38;119;1;Quitilipi
38;120;1;Machagai
39;121;1;1951
39;122;0;1994
39;123;0;1862
40;124;1;25
40;125;0;20
40;126;0;10
